//	POTENCIAS	DEMANDADAS	EN	MW		
//	A�O	MES	DIA	HORA	DEMA       	
2019	1	7	1	1114	5.21908	1
2019	1	7	2	1074	4.73726	1
2019	1	7	3	986	4.01671	1
2019	1	7	4	979	3.23523	1
2019	1	7	5	1072	2.40659	1
2019	1	7	6	1019	0.63286	1
2019	1	7	7	1106	0.81862	1
2019	1	7	8	1193	0.74448	1
2019	1	7	9	1242	0.59793	1
2019	1	7	10	1262	0.66703	1
2019	1	7	11	1275	0.80266	1
2019	1	7	12	1317	1.25564	1
2019	1	7	13	1362	1.31593	1
2019	1	7	14	1335	1.32466	1
2019	1	7	15	1364	1.20017	1
2019	1	7	16	1360	0.87735	1
2019	1	7	17	1307	0.52224	1
2019	1	7	18	1268	0.40292	1
2019	1	7	19	1310	0.15298	1
2019	1	7	20	1434	0.18706	1
2019	1	7	21	1425	0.29347	1
2019	1	7	22	1312	1.91939	1
2019	1	7	23	1183	2.51211	1
2019	1	8	0	1094	5.25353	1
2019	1	8	1	1026	5.21908	1
2019	1	8	2	985	4.73726	1
2019	1	8	3	969	4.01671	1
2019	1	8	4	968	3.23523	1
2019	1	8	5	973	2.40659	1
2019	1	8	6	1029	0.63286	1
2019	1	8	7	1119	0.81862	1
2019	1	8	8	1220	0.74448	1
2019	1	8	9	1299	0.59793	1
2019	1	8	10	1401	0.66703	1
2019	1	8	11	1463	0.80266	1
2019	1	8	12	1518	1.25564	1
2019	1	8	13	1573	1.31593	1
2019	1	8	14	1562	1.32466	1
2019	1	8	15	1580	1.20017	1
2019	1	8	16	1523	0.87735	1
2019	1	8	17	1467	0.52224	1
2019	1	8	18	1366	0.40292	1
2019	1	8	19	1406	0.15298	1
2019	1	8	20	1526	0.18706	1
2019	1	8	21	1561	0.29347	1
2019	1	8	22	1541	1.91939	1
2019	1	8	23	1459	2.51211	1
2019	1	9	0	1354	5.25353	1
2019	1	9	1	1285	5.21908	1
2019	1	9	2	1167	4.73726	1
2019	1	9	3	1067	4.01671	1
2019	1	9	4	1114	3.23523	1
2019	1	9	5	1065	2.40659	1
2019	1	9	6	1035	0.63286	1
2019	1	9	7	1144	0.81862	1
2019	1	9	8	1210	0.74448	1
2019	1	9	9	1286	0.59793	1
2019	1	9	10	1410	0.66703	1
2019	1	9	11	1439	0.80266	1
2019	1	9	12	1494	1.25564	1
2019	1	9	13	1523	1.31593	1
2019	1	9	14	1512	1.32466	1
2019	1	9	15	1488	1.20017	1
2019	1	9	16	1442	0.87735	1
2019	1	9	17	1403	0.52224	1
2019	1	9	18	1342	0.40292	1
2019	1	9	19	1358	0.15298	1
2019	1	9	20	1468	0.18706	1
2019	1	9	21	1464	0.29347	1
2019	1	9	22	1388	1.91939	1
2019	1	9	23	1299	2.51211	1
2019	1	10	0	1143	5.25353	1
2019	1	10	1	1080	5.21908	1
2019	1	10	2	1038	4.73726	1
2019	1	10	3	973	4.01671	1
2019	1	10	4	1006	3.23523	1
2019	1	10	5	1022	2.40659	1
2019	1	10	6	984	0.63286	1
2019	1	10	7	1065	0.81862	1
2019	1	10	8	1112	0.74448	1
2019	1	10	9	1224	0.59793	1
2019	1	10	10	1239	0.66703	1
2019	1	10	11	1235	0.80266	1
2019	1	10	12	1252	1.25564	1
2019	1	10	13	1237	1.31593	1
2019	1	10	14	1218	1.32466	1
2019	1	10	15	1172	1.20017	1
2019	1	10	16	1194	0.87735	1
2019	1	10	17	1178	0.52224	1
2019	1	10	18	1127	0.40292	1
2019	1	10	19	1251	0.15298	1
2019	1	10	20	1451	0.18706	1
2019	1	10	21	1455	0.29347	1
2019	1	10	22	1319	1.91939	1
2019	1	10	23	1223	2.51211	1
2019	1	11	0	1111	5.25353	1
2019	1	11	1	1006	5.21908	1
2019	1	11	2	941	4.73726	1
2019	1	11	3	896	4.01671	1
2019	1	11	4	882	3.23523	1
2019	1	11	5	888	2.40659	1
2019	1	11	6	939	0.63286	1
2019	1	11	7	1034	0.81862	1
2019	1	11	8	1111	0.74448	1
2019	1	11	9	1165	0.59793	1
2019	1	11	10	1215	0.66703	1
2019	1	11	11	1250	0.80266	1
2019	1	11	12	1224	1.25564	1
2019	1	11	13	1257	1.31593	1
2019	1	11	14	1196	1.32466	1
2019	1	11	15	1229	1.20017	1
2019	1	11	16	1239	0.87735	1
2019	1	11	17	1206	0.52224	1
2019	1	11	18	1174	0.40292	1
2019	1	11	19	1302	0.15298	1
2019	1	11	20	1381	0.18706	1
2019	1	11	21	1375	0.29347	1
2019	1	11	22	1326	1.91939	1
2019	1	11	23	1231	2.51211	1
2019	1	12	0	1124	5.25353	1
2019	1	12	1	1064	5.21908	1
2019	1	12	2	983	4.73726	1
2019	1	12	3	963	4.01671	1
2019	1	12	4	897	3.23523	1
2019	1	12	5	906	2.40659	1
2019	1	12	6	942	0.63286	1
2019	1	12	7	950	0.81862	1
2019	1	12	8	974	0.74448	1
2019	1	12	9	1084	0.59793	1
2019	1	12	10	1127	0.66703	1
2019	1	12	11	1060	0.80266	1
2019	1	12	12	1182	1.25564	1
2019	1	12	13	1285	1.31593	1
2019	1	12	14	1271	1.32466	1
2019	1	12	15	1231	1.20017	1
2019	1	12	16	1224	0.87735	1
2019	1	12	17	1210	0.52224	1
2019	1	12	18	1191	0.40292	1
2019	1	12	19	1204	0.15298	1
2019	1	12	20	1402	0.18706	1
2019	1	12	21	1389	0.29347	1
2019	1	12	22	1321	1.91939	1
2019	1	12	23	1263	2.51211	1
2019	1	13	0	1214	5.25353	1
2019	1	13	1	1080	5.21908	1
2019	1	13	2	1002	4.73726	1
2019	1	13	3	950	4.01671	1
2019	1	13	4	952	3.23523	1
2019	1	13	5	894	2.40659	1
2019	1	13	6	862	0.63286	1
2019	1	13	7	918	0.81862	1
2019	1	13	8	959	0.74448	1
