//	POTENCIAS	DEMANDADAS	EN	MW	
//	AÑO	MES	DIA	HORA	DEMANDA-TRANSP-ELEC
	2019	1	1	0	1136
	2019	1	1	1	1113
	2019	1	1	2	1042
	2019	1	1	3	1017
	2019	1	1	4	944
	2019	1	1	5	917
	2019	1	1	6	847
	2019	1	1	7	845
	2019	1	1	8	917
	2019	1	1	9	990
	2019	1	1	10	980
	2019	1	1	11	1130
	2019	1	1	12	1173
	2019	1	1	13	1178
	2019	1	1	14	1199
	2019	1	1	15	1234
	2019	1	1	16	1226
	2019	1	1	17	1215
	2019	1	1	18	1160
	2019	1	1	19	1248
	2019	1	1	20	1422
	2019	1	1	21	1499
	2019	1	1	22	1513
	2019	1	1	23	1454
	2019	1	2	0	1367
	2019	1	2	1	1257
	2019	1	2	2	1204
	2019	1	2	3	1142
	2019	1	2	4	1110
	2019	1	2	5	1109
	2019	1	2	6	1113
	2019	1	2	7	1171
	2019	1	2	8	1256
	2019	1	2	9	1378
	2019	1	2	10	1436
	2019	1	2	11	1451
	2019	1	2	12	1551
	2019	1	2	13	1614
	2019	1	2	14	1629
	2019	1	2	15	1620
	2019	1	2	16	1510
	2019	1	2	17	1492
	2019	1	2	18	1386
	2019	1	2	19	1415
	2019	1	2	20	1511
	2019	1	2	21	1545
	2019	1	2	22	1440
	2019	1	2	23	1401
	2019	1	3	0	1256
	2019	1	3	1	1118
	2019	1	3	2	1010
	2019	1	3	3	1033
	2019	1	3	4	996
	2019	1	3	5	974
	2019	1	3	6	1006
	2019	1	3	7	1102
	2019	1	3	8	1151
	2019	1	3	9	1175
	2019	1	3	10	1228
	2019	1	3	11	1244
	2019	1	3	12	1237
	2019	1	3	13	1242
	2019	1	3	14	1177
	2019	1	3	15	1252
	2019	1	3	16	1192
	2019	1	3	17	1178
	2019	1	3	18	1162
	2019	1	3	19	1188
	2019	1	3	20	1291
	2019	1	3	21	1349
	2019	1	3	22	1305
	2019	1	3	23	1204
	2019	1	4	0	1100
	2019	1	4	1	976
	2019	1	4	2	922
	2019	1	4	3	896
	2019	1	4	4	890
	2019	1	4	5	869
	2019	1	4	6	939
	2019	1	4	7	1051
	2019	1	4	8	1111
	2019	1	4	9	1143
	2019	1	4	10	1206
	2019	1	4	11	1224
	2019	1	4	12	1252
	2019	1	4	13	1348
	2019	1	4	14	1323
	2019	1	4	15	1327
	2019	1	4	16	1317
	2019	1	4	17	1288
	2019	1	4	18	1250
	2019	1	4	19	1247
	2019	1	4	20	1410
	2019	1	4	21	1417
	2019	1	4	22	1361
	2019	1	4	23	1276
	2019	1	5	0	1222
	2019	1	5	1	1101
	2019	1	5	2	1028
	2019	1	5	3	987
	2019	1	5	4	959
	2019	1	5	5	930
	2019	1	5	6	959
	2019	1	5	7	1031
	2019	1	5	8	1047
	2019	1	5	9	1100
	2019	1	5	10	1165
	2019	1	5	11	1214
	2019	1	5	12	1297
	2019	1	5	13	1267
	2019	1	5	14	1294
	2019	1	5	15	1297
	2019	1	5	16	1302
	2019	1	5	17	1263
	2019	1	5	18	1239
	2019	1	5	19	1221
	2019	1	5	20	1382
	2019	1	5	21	1418
	2019	1	5	22	1362
	2019	1	5	23	1323
	2019	1	6	0	1228
	2019	1	6	1	1136
	2019	1	6	2	1044
	2019	1	6	3	1005
	2019	1	6	4	1003
	2019	1	6	5	944
	2019	1	6	6	913
	2019	1	6	7	967
	2019	1	6	8	988
	2019	1	6	9	1062
	2019	1	6	10	1178
	2019	1	6	11	1091
	2019	1	6	12	1243
	2019	1	6	13	1307
	2019	1	6	14	1346
	2019	1	6	15	1348
	2019	1	6	16	1315
	2019	1	6	17	1234
	2019	1	6	18	1275
	2019	1	6	19	1404
	2019	1	6	20	1364
	2019	1	6	21	1522
	2019	1	6	22	1496
	2019	1	6	23	1375
	2019	1	7	0	1269
	2019	1	7	1	1114
	2019	1	7	2	1074
	2019	1	7	3	986
	2019	1	7	4	979
	2019	1	7	5	1072
	2019	1	7	6	1019
	2019	1	7	7	1106
	2019	1	7	8	1193
	2019	1	7	9	1242
	2019	1	7	10	1262
	2019	1	7	11	1275
	2019	1	7	12	1317
	2019	1	7	13	1362
	2019	1	7	14	1335
	2019	1	7	15	1364
	2019	1	7	16	1360
	2019	1	7	17	1307
	2019	1	7	18	1268
	2019	1	7	19	1310
	2019	1	7	20	1434
	2019	1	7	21	1425
	2019	1	7	22	1312
	2019	1	7	23	1183
	2019	1	8	0	1094
	2019	1	8	1	1026
	2019	1	8	2	985
	2019	1	8	3	969
	2019	1	8	4	968
	2019	1	8	5	973
	2019	1	8	6	1029
	2019	1	8	7	1119
	2019	1	8	8	1220
	2019	1	8	9	1299
	2019	1	8	10	1401
	2019	1	8	11	1463
	2019	1	8	12	1518
	2019	1	8	13	1573
	2019	1	8	14	1562
	2019	1	8	15	1580
	2019	1	8	16	1523
	2019	1	8	17	1467
	2019	1	8	18	1366
	2019	1	8	19	1406
	2019	1	8	20	1526
	2019	1	8	21	1561
	2019	1	8	22	1541
	2019	1	8	23	1459
	2019	1	9	0	1354
	2019	1	9	1	1285
	2019	1	9	2	1167
	2019	1	9	3	1067
	2019	1	9	4	1114
	2019	1	9	5	1065
	2019	1	9	6	1035
	2019	1	9	7	1144
	2019	1	9	8	1210
	2019	1	9	9	1286
	2019	1	9	10	1410
	2019	1	9	11	1439
	2019	1	9	12	1494
	2019	1	9	13	1523
	2019	1	9	14	1512
	2019	1	9	15	1488
	2019	1	9	16	1442
	2019	1	9	17	1403
	2019	1	9	18	1342
	2019	1	9	19	1358
